T,Efficiency,AvgError
1,90,0.975593
2,94,0.666453
3,94,0.699507
4,94,0.590208
5,94,0.502867
6,96,0.530533
7,96,0.5784
8,96,0.54923
9,98,0.554025
10,96,0.574924
11,96,0.572979
12,96,0.596115
13,96,0.567798
14,96,0.582476
15,96,0.588814
16,96,0.589311
17,98,0.576384
18,98,0.595265
19,98,0.593897
20,98,0.57675
21,98,0.607431
22,98,0.615437
23,98,0.628901
24,98,0.608533
25,98,0.610554
26,96,0.607288
27,96,0.598683
28,96,0.609687
29,96,0.616875
30,96,0.607076
31,96,0.597886
32,96,0.602308
33,96,0.596446
34,96,0.59582
35,96,0.587582
36,96,0.58314
37,96,0.5717
38,96,0.556835
39,96,0.551685
40,96,0.539151
41,96,0.539345
42,96,0.551157
43,96,0.550292
44,96,0.54737
45,96,0.545384
46,96,0.538369
47,96,0.539148
48,96,0.539474
49,96,0.537451
50,96,0.542451
51,98,0.545478
52,98,0.542418
53,98,0.538743
54,98,0.539642
55,98,0.534651
56,98,0.534072
57,98,0.531236
58,100,0.534708
59,100,0.540335
60,98,0.553553
61,98,0.559307
62,98,0.557668
63,98,0.559164
64,98,0.5592
65,98,0.558776
66,98,0.552079
67,98,0.547677
68,98,0.546721
69,98,0.543558
70,98,0.543342
71,98,0.546507
72,98,0.542367
73,98,0.541434
74,98,0.538212
75,98,0.541871
76,98,0.541311
77,98,0.540839
78,98,0.54029
79,98,0.542973
80,98,0.546396
81,98,0.555522
82,98,0.552767
83,98,0.55148
84,98,0.554842
85,98,0.550902
86,98,0.552661
87,98,0.554963
88,98,0.550976
89,98,0.546505
90,98,0.542927
91,98,0.550536
92,98,0.550852
93,98,0.543499
94,98,0.540062
95,98,0.53877
96,98,0.53764
97,98,0.539102
98,98,0.538609
99,98,0.545271
100,98,0.547698
