Topology,K,ReductPct,Optimality,TimeMs,BF_Time,Candidates
Erdos-Renyi,2,0.0,0.0,0.0,235.06,2
Erdos-Renyi,5,0.0,0.0,0.0,235.06,5
Erdos-Renyi,10,0.0,0.0,5.41,235.06,10
Erdos-Renyi,20,0.98,7.03,5.79,235.06,20
Erdos-Renyi,30,0.98,7.03,16.27,235.06,30
Erdos-Renyi,50,0.98,7.03,19.71,235.06,50
Erdos-Renyi,75,0.98,7.03,32.53,235.06,75
Erdos-Renyi,100,0.98,7.03,39.56,235.06,100
Erdos-Renyi,150,0.98,7.03,49.91,235.06,150
Erdos-Renyi,200,0.98,7.03,79.72,235.06,200
Barabasi-Albert,2,0.0,0.0,2.27,232.88,2
Barabasi-Albert,5,0.33,3.13,1.58,232.88,5
Barabasi-Albert,10,0.33,3.13,2.88,232.88,10
Barabasi-Albert,20,0.56,5.37,9.18,232.88,20
Barabasi-Albert,30,0.56,5.37,6.85,232.88,30
Barabasi-Albert,50,0.93,8.96,15.98,232.88,50
Barabasi-Albert,75,0.95,9.16,26.74,232.88,75
Barabasi-Albert,100,0.95,9.16,29.09,232.88,100
Barabasi-Albert,150,0.95,9.16,49.87,232.88,150
Barabasi-Albert,200,1.19,11.41,62.47,232.88,200
Watts-Strogatz,2,0.0,0.0,0.0,250.9,2
Watts-Strogatz,5,0.0,0.0,3.76,250.9,5
Watts-Strogatz,10,0.0,0.0,4.38,250.9,10
Watts-Strogatz,20,0.0,0.0,6.26,250.9,20
Watts-Strogatz,30,0.0,0.0,13.64,250.9,30
Watts-Strogatz,50,0.0,0.0,16.15,250.9,50
Watts-Strogatz,75,0.0,0.0,28.51,250.9,75
Watts-Strogatz,100,0.0,0.0,35.01,250.9,100
Watts-Strogatz,150,0.0,0.0,43.82,250.9,137
Watts-Strogatz,200,0.0,0.0,48.06,250.9,137
Path,2,100.0,100.0,1.24,13.27,2
Path,5,100.0,100.0,0.0,13.27,3
Path,10,100.0,100.0,0.0,13.27,3
Path,20,100.0,100.0,0.61,13.27,3
Path,30,100.0,100.0,0.0,13.27,3
Path,50,100.0,100.0,0.0,13.27,3
Path,75,100.0,100.0,1.03,13.27,3
Path,100,100.0,100.0,0.0,13.27,3
Path,150,100.0,100.0,0.0,13.27,3
Path,200,100.0,100.0,0.0,13.27,3
Barbell,2,100.0,100.0,0.0,19.14,2
Barbell,5,100.0,100.0,0.0,19.14,3
Barbell,10,100.0,100.0,0.0,19.14,3
Barbell,20,100.0,100.0,0.0,19.14,3
Barbell,30,100.0,100.0,0.0,19.14,3
Barbell,50,100.0,100.0,0.0,19.14,3
Barbell,75,100.0,100.0,0.0,19.14,3
Barbell,100,100.0,100.0,0.0,19.14,3
Barbell,150,100.0,100.0,0.0,19.14,3
Barbell,200,100.0,100.0,0.0,19.14,3
Star,2,0.58,100.0,0.0,19.97,2
Star,5,0.58,100.0,0.0,19.97,5
Star,10,0.58,100.0,0.0,19.97,10
Star,20,0.58,100.0,3.13,19.97,20
Star,30,0.58,100.0,0.0,19.97,30
Star,50,0.58,100.0,6.98,19.97,50
Star,75,0.58,100.0,5.62,19.97,75
Star,100,0.58,100.0,8.59,19.97,100
Star,150,0.58,100.0,8.37,19.97,150
Star,200,0.58,100.0,16.95,19.97,171
Tree,2,14.08,30.0,0.59,60.35,2
Tree,5,14.08,30.0,0.54,60.35,5
Tree,10,14.44,30.77,1.92,60.35,10
Tree,20,46.93,100.0,2.93,60.35,20
Tree,30,46.93,100.0,3.0,60.35,26
Tree,50,46.93,100.0,4.39,60.35,26
Tree,75,46.93,100.0,0.83,60.35,26
Tree,100,46.93,100.0,6.54,60.35,26
Tree,150,46.93,100.0,2.54,60.35,26
Tree,200,46.93,100.0,4.44,60.35,26
Powerlaw,2,0.0,0.0,3.85,71.74,2
Powerlaw,5,0.0,0.0,0.61,71.74,5
Powerlaw,10,0.0,0.0,0.0,71.74,10
Powerlaw,20,0.0,0.0,0.0,71.74,20
Powerlaw,30,1.72,11.6,12.92,71.74,30
Powerlaw,50,4.03,27.25,9.84,71.74,50
Powerlaw,75,4.03,27.25,14.87,71.74,75
Powerlaw,100,4.03,27.25,20.09,71.74,100
Powerlaw,150,4.03,27.25,21.0,71.74,111
Powerlaw,200,4.03,27.25,20.84,71.74,111
Caveman,2,0.0,0.0,0.0,40.11,2
Caveman,5,5.57,7.54,2.37,40.11,5
Caveman,10,5.57,7.54,0.0,40.11,10
Caveman,20,5.57,7.54,0.0,40.11,20
Caveman,30,5.57,7.54,6.56,40.11,20
Caveman,50,5.57,7.54,1.05,40.11,20
Caveman,75,5.57,7.54,3.66,40.11,20
Caveman,100,5.57,7.54,3.41,40.11,20
Caveman,150,5.57,7.54,1.05,40.11,20
Caveman,200,5.57,7.54,0.0,40.11,20
