Trial,Nodes,Edges,Brute_Time_ms,Brute_Opt,Smart_Time_ms,Smart_Opt,Speedup,Optimality_Pct,Same_Edge
1,40,76,5486.55,5.31,394.85,0.94,13.9,17.79,False
2,40,76,5355.83,4.56,378.21,2.17,14.16,47.54,False
3,40,76,5330.88,2.91,402.59,0.96,13.24,33.01,False
4,40,76,5496.79,6.06,504.67,2.42,10.89,39.98,False
5,40,76,4408.54,3.39,292.24,1.27,15.09,37.58,False
6,40,76,1374724.53,3.1,507.59,1.84,2708.32,59.56,False
7,40,76,4767.63,4.66,1281.25,0.86,3.72,18.44,False
8,40,76,4737.4,3.82,527.25,2.04,8.99,53.3,False
9,40,76,3831.77,3.44,229.79,1.2,16.67,34.96,False
10,40,76,3072.2,2.74,184.12,1.02,16.69,37.29,False
11,40,76,2653.2,4.18,174.48,4.18,15.21,100.0,True
12,40,76,2629.35,3.33,177.33,0.49,14.83,14.58,False
