Trial,Nodes,Edges,BF_Time_ms,BF_Red%,Smart_Time_ms,Smart_Red%,Speedup,Optimality%,Same_Edge
1,40,80,5858.82,2.92,449.68,0.96,13.03,32.82,False
2,40,80,5595.55,4.24,417.13,4.24,13.41,100.0,True
3,40,80,5493.47,1.22,389.31,0.83,14.11,68.24,False
4,40,80,5340.73,6.24,365.48,3.75,14.61,60.05,False
5,40,80,5570.98,10.6,422.32,0.51,13.19,4.82,False
6,40,80,5471.26,6.39,383.32,2.37,14.27,37.03,False
7,40,80,5515.69,2.41,397.95,2.41,13.86,100.0,True
8,40,80,5554.12,6.06,390.22,0.61,14.23,10.1,False
9,40,80,5521.58,6.55,393.53,0.93,14.03,14.16,False
10,40,80,5572.82,5.52,393.94,0.86,14.15,15.49,False
